title,description,authors,publisher,published_date,categories,ratings_count
Rabbit Race (Animal Ark Pets #3),"At a school picnic, Mandy and her friend Jack must race against time to save Jack's rabbit from danger, in a new title of a series which features information about a specific animal's habits and proper care. Original.",Ben M. Baglio,Scholastic Inc.,1999-04,Juvenile Fiction,1.0
International Law Anthology (Anthology Series),,Anthony A. D'Amato,Anderson Publishing Company (OH),1994,Law,0
Iridescent Soul,,M. L. Stevens,Infinity Publishing,2001,Hummingbirds,0
the Greengage Summer,"The Greengage Summer is Rumer Godden’s tense, evocative portrait of love and deceit in the Champagne region of provincial France, which became a memorable film starring Kenneth More and Susannah York. The faded elegance of Hotel Les Oeillets, with its bullet-scarred staircase and serene garden bounded by high walls; Eliot, the charming Englishman who became the children’s guardian while their mother lay ill in hospital; sophisticated Mademoiselle Zizi, hotel patronne, and Eliot’s devoted lover; ",Rumer Godden,Pan Macmillan,2011-08-11,Fiction,9.0
King Rat,"Japanese POW camp Changi, Singapore: hell on earth for the soldiers contained within its barbed wire walls. Officers and enlisted men, all prisoners together, yet the old hierarchies and rivalries survive. An American corporal, known as the King, has used his personality and wiles to facilitate trading with guards and locals to get needed food, supplies, even information into the camp. The imprisoned upper-class officers have never had to do things for themselves, and now they are reduced to wea",James Clavell,Blackstone Publishing,2018-09-18,Fiction,19.0
The World of the Tarot: The Gypsy Method of Reading the Tarot,"The only book ever written to help you understand how to use the Swiss Gipsy Tarot deck designed by Waiter Wegmuller. Discusses the Indian origins of the tarot, mythical numbers, the circle of seasons, nomadic magic, how the gypsies worked with the cards, example card readings, and of course, definitions of both major and minor arcana.",Sergius Golowin,Red Wheel,1988-01-01,Tarot,0
"God, Man, and the Thinker - Philosophies of Religion","Also includes some information on Judaism, Buddhism, and Jainism.",Donald Arthur Wells,,1962,Religion,0
Wormwood and Whines : Poetry for Grouchy People,,Graal Braun,Superiorbooks.Com Incorporated,2001-02-01,Poetry,0
A Year of Afghans (Bk. 5),"LA# 5260 - A Year of Baby Afghans Book 5 When there's a new baby on the way, these 12 darling afghan patterns give you an entire year of soft-and-cozy blankets to crochet. In June, welcome that sweet girl or boy with an ocean of colorful fish. Treat Baby to the fun of peppermints at Christmas, or a shower of blue diamonds in April. Whatever the time of year, your thoughtful gift will inspire plenty of comfort and lots of precious smiles! 12 projects for crochet: January (white Popcorn Stitch), F","Leisure Arts, Inc.",Leisure Arts,2011-04-01,Crafts & Hobbies,0
Tan Tan's Suspenders,"A pair of ordinary suspenders becomes a hammock, a slingshot, and other sources of fun for a happy-go-lucky monkey.",Kazuo Iwamura,Simon & Schuster Books For Young Readers,1983-01-01,Monkeys,0
The Building,,,,1866,Architecture,0
Chopin: The Man and His Music,"This classic in music biography and criticism reflects the intimate knowledge of Chopin's music acquired by the author while studying to become a concert pianist. Part 1 deals with Chopin's life and comments on his teachings and performances; the second part offers a brilliant, piece-by-piece analysis of the entire body of his music.",James Huneker,Courier Corporation,1966-01-01,Biography & Autobiography,2.0
"Bermuda '99: The Complete Guide with Secluded Beaches, Resorts and Cottages and Seaside Golf (Fodor's Bermuda)","Provides information on points of scenic interest, transportation, sports, accommodations, dining, and entertainment","Inc. Fodor's Travel Publications, Fodor's",Fodor's,1999-01-15,Travel,0
The Sopranos: A Family History --Season 4 (Revised and Updated),"Discusses the history of the fictional family, including Tony Soprano's childhood and life as part of the Soprano family, and provides information about the cast of the HBO series and a synopsis of the first four seasons.",Allen Rucker,New Amer Library,2003,Performing Arts,0
Fish Face,"It’s Career Week at Bayport Elementary, and Frank and Joe’s school assembly turns up some interesting guests. One student’s uncle is an animal trainer who brings a chimpanzee. Another girl’s father is an anthropologist who brings in a mask decorated with feathers and shells from a Pacific island. But when the assembly is interrupted by a fire drill, the mask is stolen—and the Hardys spring into action.",Franklin W. Dixon,Simon and Schuster,2013-10-29,Juvenile Fiction,0
"The Solar Home Book: Heating, Cooling and Designing With the Sun","""All the information you need to make solar energy work for you.""--Readinghabit.com.au viewed June 29, 2022.","Bruce Anderson, Michael Riordan, Linda Goodman",Conran Octopus,1976,Architecture and solar radiation,0
My mass,"The Mass in My Life is the story of a Catholic laywoman's lifelong experience of the Mass. She recaptures childhood experiences, traces a path to adulthood, and in her elder years finds a wondrous gratitude for the Mass. Along the way, family, friends, pastors, favorite authors, and the Mass itself lighten her way as she seeks, in the words of an old missal, ""the God who is the joy of my youth."" Personal and family memories are recalled side-by-side with selected prayers of the Mass from her col",Rosemary Lunardini,iUniverse,2009-01-17,Biography & Autobiography,0
An Historical Guide to Afghanistan (Afghan Tourist Organization Publication),,Nancy Hatch Dupree,,1977,Afghanistan,0
Plasticville,"""Brings to mind Cornell, Schwitters...imbues commonplace with meaning and integrity.""...Bernard Cooper",David Trinidad,,2000,Poetry,0
Frederick Douglass: The Narrative and Selected Writings,Introduction by Michael Meyer,"Frederick Douglass, Michael Meyer",,2008-07-10,Language Arts & Disciplines,0
The Ministry: How Japan's Most Powerful Institution Endangers World Markets,"The Ministry of Finance in Japan, perhaps one of the most powerful bureaucracies in the world, has created an economic superpower out of postwar shambles. This book details the Ministry's evolution as well as its current attempt to retain its position in a transformed economy.",James Robert Brown,Greenwood Publishing Group,1999,Business & Economics,0
"*OP Risen, The",,James Plunkett,,1978,,0
The Simon & Schuster Book of Greek Gods and Heroes,"Provides synonyms, antonyms, and homonyms for over 6000 words listed in alphabetical order.","George Beal, Simon & Schuster",Simon and Schuster,1984,English language,0
What Would Jefferson Say?,"PREFACE. THE Author of this very practical treatise on Scotch Loch - Fishing desires clearly that it may be of use to all who had it. He does not pretend to have written anything new, but to have attempted to put what he has to say in as readable a form as possible. Everything in the way of the history and habits of fish has been studiously avoided, and technicalities have been used as sparingly as possible. The writing of this book has afforded him pleasure in his leisure moments, and that plea",Dumas Malone,Warren Press,2007-03,Biography & Autobiography,0
"Get Busy, Beaver! (Book and Audio CD) (Paperback)","Violet Hall wordt er doodmoe van dat alles in haar familie altijd in het teken moet staan van de ijshockeycarrière van haar stiefbroer. Maar als ze weer eens wordt meegesleept naar een van zijn wedstrijden ontmoet ze teamcaptain Alex Waters. Hij is niet alleen bloedmooi, maar ook nog eens slim en heel grappig. Het enige nadeel: zijn reputatie. Alex Waters heeft een reputatie als playboy. Tijdens een borrel na de wedstrijd klikt het meteen tussen hem en de prettig gestoorde Violet. Alex is ervan ",Helena Hunting,Singel Uitgeverijen,2021-10-21,Fiction,0
The Martian named Smith: Critical perspectives on Robert A. Heinlein's Stranger in a strange land,,"William H. Patterson, Andrew Thornton",,2001,"Satire, American",0
Swinger of Birches with Book,,Sidney Cox,,1964,,0
Ski Tours in the Sierra Nevada: East of the Sierra,"This exclusive travel guide guides the visitor through the most incredible activities to be found in Shanghai: savour the food of world-class chefs in Asia's most romantic two-seater salon; eat at the best holes-in-the-walls and discover local street food haunts; find the best tailors and quality cashmere, satins and brocades by the yard; expert ......",Marcus Libkind,Wilderness Press,1986-10-01,Sports & Recreation,0
The Ultimate Guide to Freshwater Fishing,"Discusses how to catch fish anywhere and anytime, artificial lures, and live bait.","Dick Sternberg, North American Fishing Club","Publishing Solutions, LLC",2003,Sports & Recreation,1.0
"Nursery Knits: 25 Easy-Knit Designs for Clothes, Toys and Decorations","Text, pictures, and patterns describe how to knit clothing items, toys, and decorations for young children.",Zoe Mellor,Krause Publications,2005-04-10,Crafts & Hobbies,1.0
Starck's Prayer-Book,"Since 1921, the Concordia Edition of Johann Starck's Prayer Book has encouraged thousands of Christians in their personal prayer life. This updated edition provides a comprehensive collection of prayers and meditations that speak to contemporary Christians while preserving the richness and depth of expression of the original.","Johann Friedrich Starck, W. H. T. Dau, William Weedon",,2009-01-01,Religion,0
Read Write Inc. Phonics: Get Writing! Yellow Set 5: Pack of 10 Titles,"There is one Get Writing! Book to go with each set of Storybooks. The books include 10, 12 or 13 sets of activities - one for each story in every set. The books include writing, spelling and editing activities and there is a picture strip to write about. Notes for the teacher are included in every book.",Ruth Miskin,,2006-07-09,,0
A Concise Hopi and English Lexicon,"A Concise Hopi and English Lexicon is a lexical research tool for persons interested in the Hopi language. An effort has been made to include the most frequent forms of basic roots. The work is designed to serve as wide-ranging an audience as possible: Hopi speakers as well as those not fluent in this language, the scholar as well as the general reader. The lexicon treats the Third Mesa dialect and the vocabulary items are limited to items of common usage. The work is presented in two sections: ",David Leedom Shaul,John Benjamins Publishing,1985-01-01,Literary Criticism,0
Healing Life's Hurts: Healing Memories through the Five Stages of Forgiveness,"""Explores the concept of emotional and physical healing as well as exploring the five stages of acceptance of death and dying in light of prayer and religious experience""--Amazon.com.","Matthew Linn, Dennis Linn",Paulist Press,1978,Psychology,1.0
Shadrach Minkins: From Fugitive Slave to Citizen,,Gary Lee COLLISON,Harvard University Press,2009-06-30,History,0
Spurs for Suzanna,,Betty Cavanna,,1957,Horses,0
Voodoo in New Orleans,"The author examines ""the true origin of voodooism [and] its practice in America, particularly in New Orleans.""--Cover.",Robert Tallant,Pelican Publishing,2003,History,3.0
Copper Plate Photogravure: Demystifying the Process,"Copper Plate Photogravure describes in comprehensive detail the technique of traditional copper plate photogravure as would be practiced by visual artists using normally available facilities and materials. Attention is paid to step-by-step guidance through the many stages of the process. A detailed manual of technique, Copper Plate Photogravure also offers the history of the medium and reference to past alternative methods of practice. Copper Plate Photogravure: Demystifying the Process is part ","David Morrish, Marlene MacCallum",CRC Press,2003-04-03,Photography,0
Male and female: A study of the sexes in a changing world,,Margaret Mead,,1949,,0
THE THEORY OF ECONOMIC GROWTH,,Joan Robinson,Springer,1965-01-01,Business & Economics,0
Letters from New Orleans,"In January of 2000, Rob Walker left a high-powered media job in New York, and with his girlfriend, moved to New Orleans. Letters from New Orleans collects, in one volume, the delightful and unsettling observations Walker sent to friends and fans about his intriguing new life in New Orleans.",Rob Walker,Garrett County Press,2010-08-16,Travel,2.0
The Gnashing of Teeth,"A young American infantryman finds himself in a Korean troop train hurrying north to the front early in 1953. Thus begins a story of humor, pathos, horror, bitterness, and a chilling look at the class discrimination–whether intended or accidental–that created a warrior class of poor, uneducated men to fight a vicious enemy in a forlorn, inhospitable country. Later, this soldier’s epiphany comes from the lips of one of his beloved comrades, and creates the metaphor for much of the harrowing journ",James Charles Raymond,iUniverse,2002,Fiction,0
Escape from Slavery: The True Story of My Ten Years in Captivity and My Journey to Freedom in America,"Winner of the Books for a Better Life/Suze Orman First Book Award May 1986: Seven-year-old Francis Bok was selling his mother's eggs and peanuts near his village in southern Sudan when Arab raiders on horseback burst into the quiet marketplace, murdering men and gathering the women and young children into a group. Strapped to horses and donkeys, Francis and others were taken north into lives of slavery under wealthy Muslim farmers. For ten years, Francis lived in a shed near the goats and cattle",Francis Bok,St. Martin's Griffin,2004-10-04,Biography & Autobiography,0
"Death in Early America; The History and Folklore of Customs and Superstitions of Early Medicine, Funerals, Burials and Mourning","On title page: The history and folklore of customs and superstitions of early medicine, funerals, burials, and mourning.",Margaret Coffin,Nashville : Nelson,1976,Death,0
The Tiger Moth story,"The Tiger Moth is one of the major aviation success stories in the history of British aviation. Developed by Geoffrey de Havilland and flown for the first time on October 26 1931, the biplane became the most important elementary trainer used by Commonwealth forces. More than 1,000 Tiger Moths were delivered before WWII, and subsequently around 4,000 were built in the UK with an extra 2,000 being manufactured in Canada, Australia and New Zealand. Following the end of WWII, pilots could buy and mo",A. BRAMSON,Crecy Publishing,2020-03-25,,0
Little Critter: My Trip to the Hospital,"When Little Critter breaks his leg in a soccer game, he has to make his first trip to the hospital. Follow brave Little Critter as he rides in an ambulance, meets the doctor, and gets his first X-ray and his first cast.",Mercer Mayer,HarperFestival,2005-11-08,Juvenile Fiction,0
Reaching for the Light: A Guide for Ritual Abuse Survivors and Their Therapists,"Compassion, sensitive, and non-triggering, Reaching the Light is a step-by-step guide to understanding, effectively dealing with, the impact of ritual and cult abuse.",Emilie P. Rose,,1996,Psychology,0
From Fear to Hope & Back Again,"This book is a series of reflections about the journey of mankind toward their God, whether they believe or not. It is dedicated to the struggle of all who live their lives with love for their neighbor and do the best they can with what they are given. It is further dedicated to those non-believers who live a life of goodness with real concern for their fellow man. We are all on a journey, whether we want to admit it or not. We only have so much time to accomplish what needs to be done. But in t",Vicktor Barrios,Author House,2012-01-18,Religion,0
The Works of George Berkeley (Major works),"The eighteenth century Irish philosopher George Berkeley is best known for his empiricist and idealist philosophy, which argues that reality consists only of minds and their ideas. He is also known for his critique of abstraction, an important premise in his argument for immaterialism. His chief philosophical work, ‘A Treatise Concerning the Principles of Human Knowledge’ (1710), largely seeks to refute the claims made by Berkeley's contemporary John Locke about the nature of human perception. T",George Berkeley,Delphi Classics,2019-07-29,Philosophy,0
"Insight Guide Bali (Bali, 16th ed)","Some travelers love nothing better than to bathe in the sun. Others revel in immersing themselves in history and culture. Then there are those who are born to shop. We all know the type. In fact, we might ourselves be the type. There are some people for whom shopping is not a necessity but a sport. Insight Shopping Guides are a play book for the avid shopper who wants to level the playing field when he or she competes against natives for the best goods and deals the city has to offer. This serie",Scott Rutherford,Insight Guides,2002-02,Travel,0
"Tall, Dark and Daring (Temptation, 897)","When her costume ends up falling around her ankles in an impromptu striptease, Jackie Brady realizes she just sang to the wrong party. Somehow these bachelors weren't expecting ""Happy Birthday""—even if it was a rather revealing rendition. But the steamy look in gorgeous best man Greg De Costa's eyes tells her he's more than pleased she crashed the party. So what harm would there be in accepting bachelor number two's seductive invitation? Greg is spellbound by this sexy singer—even before she los",Joanne Rock,Harlequin,2014-02-15,Fiction,0
Anthology of American Folk Music,"Released in 1952, The Anthology of American Folk Music was the singular vision of the enigmatic artist, musicologist, and collector Harry Smith (1923–1991). A collection of eighty-four commercial recordings of American vernacular and folk music originally issued between 1927 and 1932, the Anthology featured an eclectic and idiosyncratic mixture of blues and hillbilly songs, ballads old and new, dance music, gospel, and numerous other performances less easy to classify. Where previous collections","Ross Hair, Thomas Ruys Smith",Routledge,2016-12-08,Music,0
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),"The TOEFL (Test of English as a Foreign Language) is now being offered as an internet-based test, or iBT, and the new edition of Barron’s TOEFL manual and accompanying software have been completely revised and updated to reflect the new format. The manual presents seven full-length model TOEFL iBT tests with explanations or examples for all questions, including sample essays and speaking responses. The author also offers general orientation to the new TOEFL iBT, as well as a review of academic s",Pamela J. Sharpe,Barrons Educational Series,2006-07-01,Study Aids,0
Night With a Stranger (Thorndike Large Print Harlequin Series),"The last two years had been miserable for Lorel, and she was determined to blow her aunt's small legacy on the holiday of a lifetime, before re-assessing her future.",Joanna Mansell,Thorndike Press,1990,Large type books,0
My life in art,"No one has had a greater influence on acting as we know it than Stanislavski. His 'method' - or interpretations of it - has become the central force determining almost every performance we see on stage or screen. In My Life in Art Stanislavski recalls his theatrical career, from his early experiences in Rubinstein's Russian Musical Society to his final triumphs with Chekhov at the Moscow Art Theatre. His vivid accounts of his own most famous productions including 'The Seagul' and 'Uncle Vanya' a",Constantin Stanislavski,Bloomsbury Publishing,2016-10-20,Biography & Autobiography,0
The Pregnant Father,,Stephen Giles,,2008,Fatherhood,0
Text and Thought: An Integrated Approach to College Reading and Writing,"Text and Thought, 2/e offers a comprehensive approach to developing and strengthening both developmental reading and developmental writing skills. Incorporating the most essential and useful topics in reading and writing, this integrated book includes a wealth of writing exercises along with high-interest professional and textbook readings. Readers are first guided through the application of skills and then given an opportunity to practice these skills independently. The second edition offers st","Judith Resnick, Lanny Martin Lester",Longman Publishing Group,2002-08-01,Language Arts & Disciplines,0
Vindication,"Mary Wollstonecraft’s visionary treatise, originally published in 1792, was the first book to present women’s rights as an issue of universal human rights. Ideal for coursework and classroom study, this comprehensive edition of Wollstonecraft’s heartfelt feminist argument includes illuminating essays by leading scholars that highlight the author’s significant contributions to modern political philosophy, making a powerful case for her as one of the most substantive political thinkers of the Enli",Mary Wollstonecraft,Yale University Press,2014-08-26,Philosophy,4.0
"Godey's Lady's Book and Magazine, 1860","Using a wide array of evidence drawn from poetry, fiction, diaries, letters, and examples of hairwork, Love Entwined traces the widespread popularity of the craft from the late eighteenth to the early twentieth century.",Helen Sheumaker,University of Pennsylvania Press,2007-05-29,Health & Fitness,0
Publishing Secrets: A Comprehensive Guide to Getting Your Book Published in the Lds Market,A Comprehensive Guide to Getting Your Book Published in the LDS Market,B. J. Rowley,Lds Storymakers,2004,Authorship,0
Literature in the Light of the Emblem,The literature of the 16th and 17th centuries was informed by the symbolic thought embodied in the mixed art form of emblems. This study explores the relationship between the emblem and the literature of England and Germany during the period.,Peter Maurice Daly,University of Toronto Press,1998-01-01,Literary Criticism,0
Nonna's Italian Kitchen: Delicious Home-Style Vegan Cuisine (Healthy World Cuisine),"Many Italian dishes are traditionally vegetarian, focusing on grains, legumes, vegetables and fruits, and vegan cook Bryanna Clark Grogan takes readers on a tour of tempting possibilities in this cookbook.",Bryanna Clark Grogan,Book Publishing Company (TN),1998-01-01,Cooking,1.0
"You Eat What You Are: People, Culture and Food Traditions Revised and expanded second edition","From ingredients and recipes to meals and menus across time and space, Eating Culture is a highly engaging overview that illustrates the important role that anthropology and anthropologists have played in understanding food, as well as the key role that food plays in the study of culture. The new edition, now with a full-color interior, introduces discussions about nomadism, commercializing food, food security, and ethical consumption, including treatment of animals and the long-term environment",Gillian Crowther,University of Toronto Press,2018-05-15,Social Science,0
Ray Bradbury: The Life of Fiction,"Details each of Bradbury's writings from initial draft through various editions, providing sample pages showing Bradbury's drafts and revisions and side-by-side sections of novels and short stories that compare the way Bradbury's work appeared in different published sources.","Jonathan R. Eller, Ray Bradbury, William F. Touponce, Kent State University Press",Kent State University Press,2004,Biography & Autobiography,0
The island keeper,A young woman runs away to a deserted island hoping to gain independence from her father only to find she is stranded on the island and her search for independence becomes a fight for survival.,Harry Mazer,Laurel Leaf,1982,Juvenile Fiction,1.0
Treasures of Gilcrease: Selections from the Permanent Collection,"In 1938, Thomas Gilcrease, a native of Tulsa, Oklahoma, opened the first museum devoted to the art of the American West. A true visionary, Gilcrease was ahead of his time in understanding the importance of America’s own heritage. His passion for art and history, his Native American ancestry, and his oil revenues coincided in a rare alignment. His legacy is an astounding collection of paintings, sculptures, artifacts, rare books, and documents. This lavishly produced book, featuring nearly two hu","Anne Morand, Daniel C. Swan, Kevin Smith, Sarah Erwin",University of Oklahoma Press,2005-01-01,Art,0
Sea Runners,"In 1853, four Scandinavian indentured laborers in Russian Alaska steal a canoe and begin to paddle south toward the mouth of the Columbia River, twelve thousand miles away. Reprint. 15,000 first printing.",Ivan Doig,Mariner Books,1982,Fiction,6.0
The Quick and Easy Way to Effective Speaking (Revision of Public Speaking and Influencing Men in Business by Dale Carnegie),,Dorothy Carnegie,,1968,,0
Frederick Douglass,"\The pre-eminent American slave narrative. Published in 1845, this autobiography powerfully details the life of the internationally famous abolitionist Frederick Douglass from his birth into slavery in 1818 to his escape to the North in 1838 - how he endured the daily physical and spiritual brutalities of his owners and drivers, how he learned to read and write, and how he grew into a man who could only live free or die. In his introduction, Houston A. Baker, Jr., discusses the slave narrative a",Frederick Douglass,Penguin,2009-02-10,Biography & Autobiography,1.0
How to think straight;: The technique of applying logic instead of emotion,,Robert Henry Thouless,,1941,Thought and thinking,0
"Mystery of the witch, who wouldn't",The strange predictions of a witch help a twelve-year-old boy and his friends expose the activities of a local group of criminals.,Kin Platt,,1969,Detective and mystery stories,0
Encyclopedia of Animal Science,"New entries on topics such as: Adaptation and Stress: Neuroendocrine, Physiological, and Behavioral Responses /Animal Source Foods (ASFs): Listeria monocytogenes / Ethanol By-Products: Beef /Farm Animal Welfare: Philosophical Aspects / Feed Supplements: Antibiotics / Functional Food Components: Ruminant-Derived Foods / Genomic Selection of Phenotype / Horses: Breeds, Breeding, and Genetics / Metabolic Modifiers / Molecular Biology: Animal / Proteins: Oxidation, Turnover, and Proteomics / Recombi","Charlotte Kirk Baer, Duane E. Ullrey, Wilson G. Pond",,2010,Animal industry,0
"Semi-Homemade Cooking: Quick, Marvelous Meals and Nothing is Made from scratch","The concept is simple: 70 percent of the ingredients of each recipe are pre-prepared and store-bought, 30 percent are fresh. Popular Lifestylist( Sandra Lee adds extra hints and tips for perfect, homemade cooking the easy way. 108 color photos.","Sandra Lee, Msc",,2001-01-01,,0
Nirvana and the Sound of Seattle,"Nirvana brought mass media attention to Seattle and the other grunge bands that comprise the city's alternative rock scene. This book looks at the band's decline and fall, including the suicide of lead singer Kurt Cobain.",Brad Morrell,Omnibus Press& Schirmer Trade Books,1996,Biography & Autobiography,0
Busted!: Drug War Survival Skills,"Busted! is a funny, smart, subversive worst-case scenario guide for casual drug users and their tolerant friends.It's the Bible on how not to get busted and what to do if you are. Using celebrity busts, outrageous everyman busts, and the author's professional experience, Busted! is everything you need to know about the criminal justice system, Drug War style, before it's too late. Like a Law & Order episode, the book takes the reader through a typical small-time drug possession case from committ",M. Chris Fabricant,Harper Collins,2009-03-17,Law,0
Four lives in the bebop business,,A. B. Spellman,,1966,African American musicians,0
Teach Yourself 101 Key Ideas: LINGUISTICS,,Richard Horsey,,2001,Linguistics,0
Partial Seizure Disorders: Help for Patients and Families,"""Partial Seizures"" is a thorough guide for families living with this common form of epilepsy. It can help patients and families secure an accurate, complete diagnosis, gain an understanding of medications and their side effects, and learn coping skills and other adjuncts to medication.",Mitzi Waltz,Patient-Centered Guides,2001,Health & Fitness,0
Helter Skelter,"THE BEST-SELLING TRUE CRIME BOOK IN HISTORY ______________________ The shocking true story of the Manson murders, revealed in this harrowing, often terrifying book. Helter Skelter won a Mystery Writers of America Edgar Award in 1975 for Best Fact Crime Book. On August 9th 1969, seven people were found shot, stabbed and bludgeoned to death in Los Angeles. America watched in fascinated horror as the killers were tried and convicted. But the real questions went unanswered. How did Manson make his '","Vincent Bugliosi, Curt Gentry",Random House,2014-07-31,True Crime,80.0
"RED SEX , white drugs , Blue Rock n Roll","Sex. Drugs. Rock and Roll. That is what some Americans are made of. Greg, a struggling writer, never-endingly searches for the inspiration and motivation needed to finish his work. Barriers and distractions abound including encounters with his girlfriend's old classmate, Kelly, a woman who embodies the wild free spirit of the American counter cultures. Neither sex, booze, music nor support from friends helps Greg to tune in to his muse. Greg finally ends at a reknown hotel in Chelsea, New York, ",Gerard Kuc,Lulu.com,2005-10,Fiction,0
The Temple of the Golden Pavilion,"Because of the boyhood trauma of seeing his mother make love to another man in the presence of his dying father, Mizoguchi becomes a hopeless stutterer. Taunted by his schoolmates, he feels utterly alone untill he becomes an acolyte at a famous temple in Kyoto, where he develops an all-consuming obsession with the temple's beauty. This powerful story of dedication and sacrifice brings together Mishima's preoccupations with violence, desire, religion and national history to dazzling effect.",Yukio Mishima,Random House,2010-02-23,Fiction,12.0
Murder and Underwear: working with the homeless in Chicago,"""Could I please use some of this lotion? Oh, by the way: I left my husband. He abused me. He hit me, threw me down the stairs. A little while ago he tried to set me on fire. That's when I had had enough. That is when I left him. Thanks for listening. Goodnight."" 5 months in Chicago 5 months of working with the homeless 5 months of trying to get a heart of stone",A. Redhed,iUniverse,2005-02,Biography & Autobiography,0
Assessment in the Block: The Link to Instruction (Teaching in the Block),,"Laura L. McCullough, Brenda M. Tanner",,2001,Education,0
A Rolling Stone: Or the Adventures of a Wanderer,,Horatio Alger,,1975,,0
The Missing Planets,"A nowaday science fiction, in the Jules Verne style, on science, unusual characters, ecological, social, and spiritual concerns.",Richard Trigaux,,2001-05-01,Fiction,0
Fierce Eden,"Dreading and detesting the touch of men after a brutal marriage, lovely widow Elise Laffont is forced by the Natchez uprising into the arms of half-French, half-Indian Reynaud Chevalier, who awakens her to passion and love with his patience and gentleness",Jennifer Blake,Fawcett,1990-09-30,Fiction,1.0
"Elizabeth Sinkler Coxe's Tales from the Grand Tour, 1890-1910 (Women's Diaries and Letters of the South)","The international adventures of a southern widow turned patron of historical discovery, Elizabeth Sinkler Coxe's Tales from the Grand Tour, 1890–1910 is a travelogue of captivating episodes in exotic lands as experienced by an intrepid American aristocrat and her son at the dawn of the twentieth century. A member of the prominent Sinkler family of Charleston and Philadelphia, Elizabeth ""Lizzie"" Sinkler married into Philadelphia's wealthy Coxe family in 1870. Widowed just three years later, she d",Anne Sinkler Whaley LeClercq,Univ of South Carolina Press,2012-11-26,Travel,0
The Lighthouse Keeper's Wife,,Constance Scovill Small,,1999,Biography & Autobiography,1.0
One very hot day,This novel about the fear and heat that plague a group of American soldiers awaiting an enemy ambush offers a realistic portrait of the conflict in Vietnam.,David Halberstam,Grand Central Pub,1984,Fiction,2.0
Voorloper,,Hieremias Drexelius,,1705,,0
"Pocket Sudoku Presented by Will Shortz, Volume 3: 150 Fast, Fun Puzzles","CAN YOU OUTWIT SUDOKU? First it swept Japan, then England, now the U.S. is caught in the frenzy of sudoku---the new puzzle craze! From Puzzlemaster and New York Times crossword editor Will Shortz comes the third volume of Pocket Sudoku, a brand-new collection featuring 150 sudoku, along with an introduction that explains these mind-bening puzzles and how to solve them. These puzzles are fun and easy to understand---just fill the grid with numbers according to one simple rule. No math is required",Will Shortz,Macmillan,2005-12-27,Games & Activities,0
War of the Werewolf,"Militant extremists from opposite ends of the political spectrum have radical plans to change America, and they are not above taking innocent life to achieve their goals. But, each faction stands in the way of the other and each plans to eliminate the opposition. Mischievous fate, however, has dealt both factions a wild card and one of the leaders may have to commit suicide to stop an even greater evil from arising. The decision must be made before the coming eclipse of the Harvest Moon, unless ","Gary Greenberg, Jerome Tuccille",,2000-06-01,Fiction,0
"Robert Frost: Collected Poems, Prose, and Plays (Library of America)","Justly celebrated at home and abroad, Robert Frost is perhaps America’s greatest twentieth-century poet and a towering figure in American letters. From the publication of his first collections, A Boy’s Will (1913) and North of Boston (1914), Frost was recognized as a poet of unique power and formal skill, and the enduring significance of his work has been acknowledged by each subsequent generation. His poetry ranges from deceptively simply pastoral lyrics and genial, vernacular genre pieces to d",Robert Frost,Library of America,1995-10-01,Poetry,0
Forward the Mage,"Arriving in Goimr to pursue his career as an artist, Benvenuti finds himself caught up in a bizarre quest to uncover the meaning of the king's nightmare, accompanied by the sorcerer Zulkeh and by Gwendolyn, a gorgeous Amazon. 17,500 first printing.","Eric Flint, Richard Roach",Baen Books,2002-02-26,Comics & Graphic Novels,2.0
Crimson Skies: Aircraft Manual,"With comprehensive walkthroughs of more than 24 single-player missions, this guide provides statistics and strategies for every plane, Zeppelin and weapon in the game, including insights straight from the game's designer. It gives users hardcore multiplayer tactics for dominating head-to-head dogfights, in addition to a full-color poster.",David Chong,Sybex,2000,Computers,0
Voyage from yesteryear,,James P. Hogan,Del Rey,1982,Science fiction,3.0
Multiple Choice & Free-Response Questions in Preparation for the AP Calculus (AB) Examination / Student's Solutions Manual: Eighth Edition,"Reader, your life is full of choices. Some will bring you joy and others will bring you heartache. Will you choose to cheat (in life, the examination that follows) or will you choose to copy? Will you fall in love? If so, will you remember her name and the number of freckles on her back? Will you marry, divorce, annul? Will you leave your run-down neighbourhood, your long-suffering country and your family? Will you honour your dead, those you loved and those you didn't? Will you have a child, wi",Alejandro Zambra,Granta Books,2016-08-04,Fiction,5.0
The Gatefold Book of the World's Greatest Warships,,,,1994,Warships,0
Wings Above the Diamantina,"The discovery of a stolen red monoplane on the dry, flat bottom of Emu Lake meant many things for different folks. For Elizabeth Nettlefold, the chance to nurse its strangely ill meant renewed purpose in life. For Dr Knowles, brilliant physician and town drunk, it meant the revival of a romantic dream. For some it meant a murder plan gone awry, and for Bonaparte, it meant one of the toughest cases of his career. Bony - a unique figure among top-flight detectives. - BBC",Arthur W. Upfield,ETT Imprint,2020-06-01,Fiction,3.0
